case_id,category,symptom,topology_note,show_output,expected_fault,osi_layer,concept_tag,severity
C01,VLAN,"PC1 and PC2 are both supposed to be in VLAN 10 on switch SW1, but PC2 (Fa0/3) cannot ping PC1 (Fa0/1) even though both ports show connected.","Access switch SW1; PC1 on Fa0/1 in VLAN10, PC2 on Fa0/3 should also be VLAN10 but port config differs.","SW1# show vlan brief

VLAN Name                             Status    Ports
---- -------------------------------- --------- -------------------------------
1    default                          active    Fa0/2, Fa0/3, Fa0/4
10   Sales                            active    Fa0/1
20   Engineering                      active    Fa0/5, Fa0/6

SW1# show running-config interface fa0/3
interface FastEthernet0/3
 switchport mode access
 switchport access vlan 1",Fa0/3 is still assigned to default VLAN1 instead of VLAN10 (switchport access vlan was never updated).,Layer 2,VLAN port assignment,Medium
C02,VLAN,"A PC plugged into Fa0/8 on SW2 (VLAN10) cannot reach any other VLAN10 host on SW1, even though the port is up/up.",SW1-SW2 connected via trunk Gi0/1; PC in VLAN10 on SW2 needs Gi0/1 to carry VLAN10 traffic.,"SW1# show interfaces trunk

Port        Mode         Encapsulation  Status        Native vlan
Gi0/1       on           802.1q         trunking      1

Port        Vlans allowed on trunk
Gi0/1       1,20,30

Port        Vlans allowed and active in management domain
Gi0/1       1,20,30","VLAN10 is not included in the trunk's allowed-VLAN list on Gi0/1, so VLAN10 frames get pruned at the trunk.",Layer 2,Trunk allowed-VLAN list,High
C03,VLAN,PCs in VLAN30 get a valid DHCP IP but cannot ping their gateway 192.168.30.1.,L3 switch with SVIs for VLAN10/20/30; VLAN30 is the newly added Guest VLAN.,"L3SW# show ip interface brief
Interface              IP-Address      OK? Method Status                Protocol
Vlan1                   unassigned      YES unset  up                    up
Vlan10                  192.168.10.1    YES manual up                    up
Vlan20                  192.168.20.1    YES manual up                    up
Vlan30                  192.168.30.1    YES manual administratively down down",The VLAN30 SVI (interface Vlan30) is administratively shut down on the L3 switch.,Layer 3,SVI shutdown,High
C04,VLAN,"Two VLAN10 PCs on different switches (SW1, SW2) cannot reach each other even though both have valid VLAN10 IPs.",SW1 and SW2 connected via trunk Gi0/1; both switches carry VLAN10 for the same subnet.,"SW1# show interfaces gi0/1 trunk
Port        Mode         Encapsulation  Status        Native vlan
Gi0/1       on           802.1q         trunking      1

%CDP-4-NATIVE_VLAN_MISMATCH: Native VLAN mismatch discovered on GigabitEthernet0/1 (1), with SW2 GigabitEthernet0/1 (10).","Native VLAN mismatch on the trunk (SW1=VLAN1, SW2=VLAN10) causes VLAN10 traffic to be tagged/handled incorrectly.",Layer 2,Native VLAN mismatch,Medium
C05,Gateway,PC1 (192.168.10.5) cannot reach anything outside its own subnet; ping to its configured gateway times out.,R1 GigabitEthernet0/0 is the real gateway for VLAN10 (192.168.10.0/24).,"PC1> ipconfig
IP Address......................: 192.168.10.5
Subnet Mask......................: 255.255.255.0
Default Gateway..................: 192.168.10.254

R1# show ip interface brief
Interface              IP-Address      OK? Method Status                Protocol
GigabitEthernet0/0      192.168.10.1    YES manual up                    up",PC1 is configured with the wrong default gateway (192.168.10.254); the router's real interface IP is 192.168.10.1.,Layer 3,Default gateway misconfiguration,High
C06,Gateway,All PCs in VLAN20 lost internet and inter-VLAN access at the same time.,R1 GigabitEthernet0/1 is the gateway interface for VLAN20 (192.168.20.0/24).,"R1# show ip interface brief
Interface              IP-Address      OK? Method Status                Protocol
GigabitEthernet0/1      192.168.20.1    YES manual down                  down",The router's VLAN20 gateway interface (Gi0/1) is down.,Layer 1/2,Gateway interface down,Critical
C07,Gateway,PC2 receives a correct IP/mask/gateway via DHCP but still cannot ping the gateway.,VLAN30 gateway should be 192.168.30.1 on R1; a rogue device may be misconfigured on the same segment.,"R1#
%IP-4-DUPADDR: Duplicate address 192.168.30.1 on Vlan30, sourced by 0050.7966.6802",A duplicate IP conflict on the gateway address (192.168.30.1) is breaking ARP resolution intermittently.,Layer 2/3,Duplicate IP / ARP conflict,High
C08,Gateway,"When R1 (the active gateway router) is rebooted for maintenance, VLAN10 PCs completely lose their gateway instead of failing over to R2.","R1 and R2 run HSRP for VLAN10 (192.168.10.0/24), virtual IP 192.168.10.1.","R1# show standby brief
                     P indicates configured to preempt.
Interface   Grp  Pri P State    Active          Standby         Virtual IP
Vl10        1    100   Init     unknown         local           192.168.10.1","The HSRP group is stuck in Init state (VLAN/interface or priority misconfig), so failover to the standby router never completes.",Layer 3,FHRP (HSRP) misconfiguration,High
C09,DHCP,New PCs plugged into VLAN10 cannot get a DHCP IP and fall back to a 169.254.x.x address.,R1 runs DHCP pool VLAN10 (192.168.10.0/24) sized for 10 clients.,"R1# show ip dhcp pool

Pool VLAN10 :
 Utilization mark (high/low)    : 100 / 0
 Subnet size (first/last)       : 0 / 0
 Total addresses                : 10
 Leased addresses               : 10
 Pending event                  : none",The DHCP pool for VLAN10 is fully exhausted (10 of 10 addresses leased).,Layer 3,DHCP pool exhaustion,High
C10,DHCP,PCs in VLAN20 never receive an IP from the central DHCP server that lives in VLAN10.,L3 switch has SVIs for VLAN10 and VLAN20; DHCP server sits in VLAN10 only.,"L3SW# show running-config interface vlan20
interface Vlan20
 ip address 192.168.20.1 255.255.255.0
 no ip helper-address","The VLAN20 SVI has no 'ip helper-address' pointing at the DHCP server, so client broadcasts never cross the subnet boundary.",Layer 3,DHCP relay (ip helper-address),High
