case_id,ai_root_cause,ai_confidence,ai_osi_layer,ai_evidence,ai_next_command,ai_fix_steps,generated_at
C03,VLAN30 SVI (interface Vlan30) is administratively down.,High,,show ip interface brief shows Vlan30 status = administratively down.,show running-config interface vlan30,interface vlan30 -> no shutdown.,
C04,"Trunk between SW1 and SW2 is not configured, so VLAN10 traffic never crosses.",Medium,,CDP message references Gi0/1 on both switches.,show interfaces gi0/1 switchport,Re-enable trunking with switchport mode trunk on both ends.,
C05,PC1 has the wrong default gateway configured (192.168.10.254 vs router's 192.168.10.1).,High,,PC ipconfig gateway differs from R1 Gi0/0 IP in show ip interface brief.,show ip interface brief on R1,Reconfigure PC1 (or DHCP scope) with gateway 192.168.10.1.,
C06,"Gateway interface Gi0/1 on R1 is down, cutting off all of VLAN20.",High,,show ip interface brief: Gi0/1 status/protocol both down.,show interfaces gi0/1,"Check cable/SFP, then no shutdown on Gi0/1 if administratively down.",
C07,Duplicate IP address conflict on the gateway address 192.168.30.1.,Medium,,%IP-4-DUPADDR syslog message names 192.168.30.1.,show arp | include 192.168.30.1,Locate and reconfigure the rogue device using 0050.7966.6802; remove the static/duplicate IP.,
C08,"Gateway interface on R1 is physically down, so HSRP can't fail over.",Medium,,show standby brief output shows an unusual state.,show ip interface brief on R1,Check R1's physical interface and cabling.,
C09,DHCP pool VLAN10 is exhausted (10/10 addresses leased).,High,,"show ip dhcp pool: Leased addresses = 10, Total addresses = 10.",show ip dhcp binding,Enlarge the pool or shorten the lease time; check for stale bindings to clear.,
C10,"VLAN20 SVI has no ip helper-address, so DHCP broadcasts never reach the server in VLAN10.",High,,show running-config interface vlan20 shows 'no ip helper-address'.,show running-config interface vlan10,Add ip helper-address <DHCP-server-IP> under interface vlan20.,
C11,DHCP pool VLAN10_POOL is exhausted.,Medium,,Pool configuration was reviewed.,show ip dhcp pool VLAN10_POOL,Increase pool size.,
C12,Excluded-address range 192.168.40.1-192.168.40.254 leaves no addresses for DHCP clients.,High,,show run | include excluded shows the full host range excluded.,show ip dhcp pool,"Narrow the excluded range to only the addresses actually reserved (e.g. gateway, AP management IPs).",
C13,PC3 is configured with a public DNS server (8.8.4.4) that has no record for the internal name server.local.,High,,ipconfig /all shows DNS Server: 8.8.4.4; internal DNS server is 192.168.10.5.,nslookup server.local 192.168.10.5,Point PC3 (or the DHCP scope) at the internal DNS server 192.168.10.5.,
C14,"Extended ACL 101 denies UDP port 53, blocking DNS.",High,,show access-lists 101 line 10: deny udp any any eq 53.,show ip interface gi0/0 | include access list,"Remove or edit ACE 10 in ACL 101, or add a permit above it for the DNS server's IP.",
C15,webserver.local has a stale DNS record pointing to 192.168.10.99 instead of .50.,Medium,,show hosts entry for webserver.local lists 192.168.10.99.,ping 192.168.10.50,Update/re-register the host entry for webserver.local to 192.168.10.50.,
C16,"VLAN30 DHCP pool has no dns-server line, so clients get no DNS server.",High,,show run | section VLAN30_POOL has no dns-server statement.,show ip dhcp pool VLAN30_POOL,Add 'dns-server <IP>' to the VLAN30_POOL configuration.,
C17,R1 has no route to the branch subnet 10.10.20.0/24.,High,,"show ip route lists only 192.168.10.0/24 and 10.10.10.0/24, no 10.10.20.0/24.",show ip route 10.10.20.0,Add a static route (ip route 10.10.20.0 255.255.255.0 <next-hop>) or enable a routing protocol toward BR1.,
C18,OSPF neighbor never forms because BR1's interface is in area 1 while R1's is in area 0.,Medium,,show ip ospf neighbor returns nothing; show ip protocols shows area 1 on BR1's WAN network.,show ip protocols on R1,"Match the area ID on both sides of the WAN link (both should be area 0, or whatever the design calls for).",
C19,Duplicate IP conflict is preventing the new PC from communicating.,Medium,,New PC (192.168.10.200) can't reach anything on the subnet.,show ip arp | include 192.168.10.200,Check for another device using 192.168.10.200 and reassign one of them.,
C20,"Static route to 172.16.5.0/24 has a next-hop (192.168.99.99) that isn't reachable, so the route never installs.",High,,"show ip route 192.168.99.0 returns '% Network not in table', confirming the next-hop can't be resolved.",show ip route 172.16.5.0,"Correct the next-hop IP, or reference the correct exit interface instead of an IP.",
C21,Standard ACL 10 (outbound on Gi0/2) denies the 192.168.10.0/24 source subnet.,Medium,,show access-lists: ACL10 line 10 denies 192.168.10.0/0.0.0.255; ACL10 is set outbound on Gi0/2.,show ip route; show access-lists; show interfaces trunk,"Add a permit line above the deny for the required traffic, or remove ACL10 from Gi0/2 if it's not needed there.",
C22,ACL 5 on the VTY lines only permits 192.168.10.50; the admin's new IP isn't listed.,High,,show access-lists 5 has a single permit line for 192.168.10.50.,show run | section line vty,Add 'permit 192.168.10.100' to ACL 5 (or replace the old entry if the admin's IP changed permanently).,
C23,"No ACL is applied to Gi0/3 at all, so guest traffic isn't isolated.",High,,show ip interface gi0/3 confirms both inbound and outbound access lists are 'not set'.,show access-lists,"Create and apply an ACL on Gi0/3 that denies guest VLAN traffic to internal server subnets, permits internet-bound traffic.",
C24,ACL 110 is blocking Telnet to the server (192.168.10.50).,Medium,,show access-lists 110 shows a deny tcp line targeting the server.,show access-lists 110,Remove ACL 110 from the interface to restore access.,
C25,"Gi0/1 is missing 'ip nat inside', so no traffic is ever marked for translation.",High,,show ip nat translations is empty; show run confirms Gi0/1 has no ip nat inside line.,show run interface gi0/0,Add 'ip nat inside' under Gi0/1 (the VLAN10-facing interface).,
C26,The static NAT entry has a typo - maps to 192.168.10.8 instead of 192.168.10.80.,High,,show run | include static shows 'tcp 192.168.10.8 80 ...' vs the real server IP 192.168.10.80.,ping 192.168.10.80,Remove the incorrect static NAT line and re-add it with 192.168.10.80.,
C27,"ACL 1's wildcard mask (0.0.0.15) only covers a /28, not the full /24 VLAN10 subnet.",High,,show access-lists 1: permit 192.168.10.0 wildcard bits 0.0.0.15.,show ip nat translations,Change the wildcard mask to 0.0.0.255 to cover the full /24 subnet.,
C28,WLAN 1 is mapped to the 'management' interface instead of the employee-data VLAN.,High,,show wlan 1 lists Interface: management.,show interface employee-data,Change WLAN 1's interface mapping to employee-data under the WLC's WLAN config.,
C29,WPA2 passphrase mismatch is causing authentication failures for some clients.,Medium,,Multiple clients failing to authenticate to the same SSID.,show wlan 1 security,Re-push the correct WPA2 passphrase to affected clients.,
C30,AP-EastWing has lost its connection to the WLC (Disassociated state).,High,,"show ap summary: AP-EastWing State = Disassociated, all other APs = Registered.",show cdp neighbor detail on the EastWing switch port,"Check the switch port, PoE budget, and cable feeding AP-EastWing; re-seat/replace as needed.",2026-08-26T23:31:47
C02,VLAN10 is missing from the trunk's allowed-VLAN list on Gi0/1.,High,,"show interfaces trunk lists allowed vlans as 1,20,30 - no 10.",show interfaces gi0/1 switchport,switchport trunk allowed vlan add 10 on Gi0/1 (both switches).,2026-08-27T22:09:31
